[55, '"NuMceJ47ajU"', '"One Kiss Got Me The Girl"', '"2020-04-07T19:52:51.000Z"', '"UCsDmESjqNPukDmVnuneLrqw"', '"It\'s Alex Clark"', '1', '"Film & Animation"', '"20.04.10"', '"its alex clark|itsalexclark|alex clark|itsalexclark youtube|youtube itsalexclark|itsalexclark channel|animation|animation channel|animated|animated videos|alex clark youtube|youtube alex clark|alex clark channel|alex clark vlogs|clark cartoons|Alex Clark wife|Alex Clark wife 5|Alex Clark wife 4|Alex Clark pam|pam clark|Alex and pam|first kiss story|first kiss story time|panda|bunny kiss"', '"249354"', '"449"', '"22046"', '"340"', '"2708"']
[56, '"GVlBR6AXNUM"', '"Sneaking into the New 2020 Faze House..."', '"2020-04-06T21:13:03.000Z"', '"UCDo9msNItILnyF_Y2eHaNQg"', '"RiceGum"', '24', '"Entertainment"', '"20.04.10"', '"faze clan|faze house|new faze house|faze kay|faze adapt|ricegum|gaming|house|house tour|family|vlog|logan paul|jake paul"', '"1191948"', '"317"', '"69629"', '"6995"', '"4954"']
[57, '"sbEj7M3aZIg"', '"How to Help Your Hospital (Fight COVID-19 Locally) - Smarter Every Day 233"', '"2020-04-07T16:01:32.000Z"', '"UC6107grRI4m0o2-emgoDnAA"', '"SmarterEveryDay"', '28', '"Science & Technology"', '"20.04.10"', '"Smarter|Every|Day|Science|Physics|Destin|Sandlin|Education|Math|Smarter Every Day|experiment|nature|demonstration|slow|motion|slow motion|education|math|science|science education|what is science|Physics of|projects|experiments|science projects|Volunteer"', '"462425"', '"975"', '"30926"', '"531"', '"2268"']
[58, '"wKcUx7OSlB4"', '"#1 RECEIVER IN THE COUNTRY DOES 1ON1’s VS NFL PLAYERS!! (ANKLE WARNING)"', '"2020-04-07T22:57:55.000Z"', '"UC4mLlRa_dezwvytudo9s1sw"', '"Deestroying"', '24', '"Entertainment"', '"20.04.10"', '"db wr 1 on 1|deestroying|football|nfl|wide receiver|best catches|best football catches|destroying|1 on 1|exposed|highschool football|7 on 7|one handed catch|nfl highlights|odell beckham|football highlights|highlight tape|deestroying highlights|donald de la haye highlights|antonio brown|dockery|xfl|xfl highlights|friday night lights|last chance high|donald de la haye|kicker|football vines|trash talking|in the hood|#1 ranked"', '"811193"', '"884"', '"37002"', '"702"', '"3683"']
[59, '"I0rRrXq0Y4Y"', '"Official PS5 Controller Revealed: DualSense - New Design, Mic, Light Bar, Create Button."', '"2020-04-07T22:17:02.000Z"', '"UCPUjf6TfExQ-hOn51bklHcw"', '"Mystic"', '20', '"Gaming"', '"20.04.10"', '"PS5|PS5 Controller|PlayStatin 5 Controller|DualSense|Dualshock 5"', '"401051"', '"775"', '"13161"', '"379"', '"4664"']
[60, '"BUkat1R6AB4"', '"Selena Gomez - Boyfriend (Lyric Video)"', '"2020-04-09T12:00:09.000Z"', '"UCjK8ORC71kwyj1DWFwril_A"', '"SelenaGomezVEVO"', '10', '"Music"', '"20.04.10"', '"Selena|Gomez|Boyfriend|(Lyric|Video)|Interscope|Records|Pop"', '"1128059"', '"163"', '"132197"', '"1933"', '"6786"']
[61, '"TF4aDG-ZF5g"', '"Q & A CHALLENGE WITH MY BOYFRIEND!"', '"2020-04-06T22:53:34.000Z"', '"UC6jgzx2g3nlbaYkd8EMweKA"', '"Jaclyn Hill"', '26', '"Howto & Style"', '"20.04.10"', '"jaclynhill1|jaclyn hill|makeup tutorial|smokey eye tutorial|contour face|morning routine|how-to|everyday makeup|cat eye makeup|cat makeup|drugstore makeup"', '"814943"', '"2188"', '"44620"', '"2204"', '"6202"']
[62, '"qf5i48TyMig"', '"Bazzi - Renee\'s Song [Official Music Video]"', '"2020-04-07T19:00:10.000Z"', '"UCKI6DNZu8-X5VWI0FEEYCTA"', '"Bazzi"', '10', '"Music"', '"20.04.10"', '"bazzi|andrew bazzi|mine|beautiful|cosmic|you\'re so fucking precious|you so fucking precious when you smile|bazzi music|bazzi mine|bazzi beautiful|bazzi young & alive|bazzi young and alive|bazzi renee\'s song|renee\'s song|renees song|bazzi myself|music video|official video|bazzi girlfriend song|pop|pop music|love song|anniversary song|renee\'s song video|renee\'s song official video|renee\'s song music video"', '"557016"', '"131"', '"55098"', '"500"', '"1901"']
[63, '"CqMFEz4fXcI"', '"Grocery delivery is a breeze!"', '"2020-03-31T00:35:59.000Z"', '"UC701pqb1-HJPS4RMjSmK4Yg"', '"Walmart"', '27', '"Education"', '"20.04.10"', '"Grocery delivery|Walmart|groceries"', '"1364656"', '"59"', '"6522"', '"1821"', '"1572"']
[64, '"Z0gXZS9XcBM"', '"Apex Legends – The Old Ways Event Trailer"', '"2020-04-06T15:00:29.000Z"', '"UC0ZV6M2THA81QT9hrVWJG3A"', '"Apex Legends"', '20', '"Gaming"', '"20.04.10"', '"Apex Legends|Apex|Apex Legends event|Apex Legends new event|Bloodhound|Apex Legends Season 4|Apex Legends Stories From the Outlands|The Old Ways Event|Old Ways Gameplay|Apex Legends Battle Pass|Season 4 Battle Pass|Apex Legends new season|Apex Legends game|Respawn Apex Legends|ps4|Xbox|PC|Origin|Battle Royale game|Battle Royale|Battle Royale shooter|squad play|multiplayer shooter|Respawn Entertainment|Electronic Arts|Titanfall 2|EA|Respawn"', '"2574012"', '"85"', '"105302"', '"1531"', '"8824"']
[65, '"om3n2ni8luE"', '"(여자)아이들((G)I-DLE) - \'Oh my god\' Official Music Video"', '"2020-04-06T09:00:01.000Z"', '"UCritGVo7pLJLUS8wEu32vow"', '"(G)I-DLE (여자)아이들 (Official YouTube Channel)"', '10', '"Music"', '"20.04.10"', '"kpop|gidle|(여자)아이들|(G)I-DLE|IDLE|여자아이들|아이들|미연|민니|수진|소연|우기|슈화|MIYEON|MINNIE|SOOJIN|SOYEON|YUQI|SHUHUA|큐브|CUBE|ohmygod|오마이갓|OMG|여자아이들오마이갓|오마이갓뮤비|ohmygodmv|뮤직비디오|MV|아이들오마이갓"', '"43235375"', '"201"', '"1145556"', '"34584"', '"116858"']
[66, '"HgLFL_5Bt8Y"', '"[(G)I-DLE - Intro(Black Ver.)+Oh my god] Comeback Stage | M COUNTDOWN 200409 EP.660"', '"2020-04-09T13:58:22.000Z"', '"UCbD8EppRX3ZwJSou-TVo90A"', '"Mnet K-POP"', '24', '"Entertainment"', '"20.04.10"', '"여자아이들|G_I_DLE|OhMyGod|오마이갓|엠카운트다운|엠카|MCD|MCOUNTDOWN|엠넷|Mnet|케이팝|KPOP"', '"664928"', '"311"', '"69192"', '"1199"', '"3266"']
[67, '"boR8GnRxLxA"', '"Swapping Outfits WITH MY SISTER!! | Louie\'s Life"', '"2020-04-06T22:30:08.000Z"', '"UCZDdF_p-L88NWVpzF0vjvMQ"', '"Louie\'s Life"', '24', '"Entertainment"', '"20.04.10"', '"Louies Life|Louie Castro|Louie|Castro|The Baddest Perra|Baddest Perra|louiecasttro|casttro|LouieCastro|Swapping Outfits With My Sister|outfits|swapping|swapping outfits|swapping clothes with my sister|swapping clothes|swapping clothing outfits|clothing|clothes|funny|swapping clothes challenge|challenge|clothes challenge|switching clothes with my sister|RCLBeauty|RCLBeauty swapping clothes|RCLBeauty swapping outfits|yoatzi|castro sisters|siblings|chistoso|latino"', '"831050"', '"875"', '"56542"', '"935"', '"2596"']
[68, '"aYtVJ7gYIWw"', '"Black Clover - Opening 11 (HD)"', '"2020-04-07T10:35:51.000Z"', '"UCf2L21tpe1P-Y4QjOXkCIvQ"', '"Crunchyroll FR"', '24', '"Entertainment"', '"20.04.10"', '"black clover|op 11|opening 11|black clover op 11|black clover opening 11|Stories|Snow Man|ブラッククローバー|vostfr|ep 129|episode 129|asta|yuki tabata|yuno|heart|kingdom|elfe|elfe noir|black efle|anime|anime full episode|anime highlights|anime op|anime opening|anime preview|anime trailer|crunchyroll|manga"', '"423537"', '"110"', '"16530"', '"343"', '"2241"']
[69, '"BxV14h0kFs0"', '"This Video Has 6,244,338 Views"', '"2020-04-06T15:00:07.000Z"', '"UCBa659QWEk1AI4Tg--mrJ2A"', '"Tom Scott"', '27', '"Education"', '"20.04.10"', '"tom scott|tomscott|api|coding|application programming interface|data api"', '"6244338"', '"639"', '"432892"', '"4447"', '"42339"']
[70, '"Ny9VnKfNh8E"', '"NYC Mayor Bill De Blasio Holds Coronavirus Briefing | NBC News"', '"2020-04-08T15:45:12.000Z"', '"UCeY0bbntWzzVIaj2z3QigXg"', '"NBC News"', '25', '"News & Politics"', '"20.04.10"', '"nbc news|nbc|nbc news live|live stream|cuomo|andrew cuomo|governor cuomo|new york governor|governor|coronavirus cuomo|coronavirus|coronavirus update|coronavirus us|coronavirus news|coronavirus latest news|coronavirus symptoms|cdc|center for disease control|symptoms|virus protection|outbreak|coronavirus outbreak|COVID-19|pandemic|coronavirus pandemic|coronavirus prevention|coronavirus explained|covid-19 news|covid-19 updates|covid-19 outbreak|corona"', '"249354"', '"6098"', '"744"', '"298"', '"161"']
[71, '"hOA6WrarZEQ"', '"Twin-Turbo Jet Boat Rips the Water! Finnegan\'s Garage Ep.96"', '"2020-04-06T21:41:05.000Z"', '"UC1IdPylqngGiuHFLJqHbG_g"', '"Finnegan\'s Garage"', '2', '"Autos & Vehicles"', '"20.04.10"', '"[none]"', '"751289"', '"1435"', '"14133"', '"415"', '"1538"']
[72, '"WfkbQqqCvco"', '"Justin Gaethje on Tony Ferguson Fight at UFC 249, \'I\'m Facing My Fears\' | TMZ Sports"', '"2020-04-07T13:45:17.000Z"', '"UCE3yf1AcIlXdps2EYbq3lzw"', '"TMZSports"', '17', '"Sports"', '"20.04.10"', '"TMZ|TMZ Sports|TMZ Sports Channel|Celebrity|Sports|Athletes|TMZ News|Famous|Hall of Fame|Sports News|ufc|ufc 249|ufc fight|ufc Justin Gaethje|justin gaethje|justin gaethje highlights|justin gaethje interview|justin gaethje vs|justin gaethje wrestling|Justin Gaethje interview|tony ferguson|dana white|tmz|tmz sports"', '"343899"', '"184"', '"7031"', '"215"', '"2711"']
[73, '"37IHlU8NpAI"', '"Luke Combs - Does To Me (Official Video) ft. Eric Church"', '"2020-04-06T23:15:14.000Z"', '"UCwLK17rpMFUfktQEcMzSyWg"', '"LukeCombsVEVO"', '10', '"Music"', '"20.04.10"', '"eric church|official video|beer never broke my heart|lovin on you|im in love|long neck ice cold|snl|Saturday night live|jj watt|luke combs live|brooks and dunn|new every day|every little bit helps|angels workin overtime|all over again|better together|lyrics|used to you|new music|moon over Mexico|beautiful crazy|she got the best of me|one number away|hurricane|country radio|lukecombsvevo|quarantine|social distancing"', '"452590"', '"223"', '"13068"', '"223"', '"740"']
[74, '"jFMOb8H3xeQ"', '"YoungBoy Never Broke Again - AI Nash (Dir. by @_ColeBennett_)"', '"2020-04-04T20:50:01.000Z"', '"UCtylTUUVIGY_i5afsQYeBZA"', '"Lyrical Lemonade"', '24', '"Entertainment"', '"20.04.10"', '"NBA Youngboy|Youngboy Never Broke Again|AI Youngboy|Steve Nash|Nash|Racks In The Back|Music Video|New|2020|Lyrical Lemonade|Cole Bennett|Chicago|Kayo|make no sense|lil top|Self control|Uncharted Love|Ten Talk|Red Eye|Bad Bad|Rap|Hip Hop|Skeleton|Skull|Still Flexin Still Steppin|AI Nash|Al Nash"', '"7246322"', '"200"', '"326019"', '"12678"', '"21529"']
[75, '"Y80ZTbjtz5c"', '"Gaming Life Hacks"', '"2020-04-08T16:12:28.000Z"', '"UCXGgrKt94gR6lmN4aN3mYTg"', '"Austin Evans"', '28', '"Science & Technology"', '"20.04.10"', '"gaming life hack|life hack|xbox|playstation|switch|nintendo switch|xbox one|ps4|playstation 4|controller|xbox copilot|reset dualshock 4|reset playstation 4|dualshock 4|xbox google home|xbox alexa|amazon|amazon alexa|google home|google|microsoft|sony|nintendo|game console|gaming|the test drivers|test drivers|this is|austin evans"', '"1020316"', '"703"', '"36050"', '"3278"', '"3034"']
[76, '"O59DUPAgKPY"', '"Members of the Coronavirus Task Force Hold a Press Briefing at the White House | TIME"', '"2020-04-08T23:44:37.000Z"', '"UC8Su5vZCXWRag13H53zWVwA"', '"TIME"', '25', '"News & Politics"', '"20.04.10"', '"covid-19|trump|white house|president trump|health|healthcare|public health|social distancing|news|politics|Donald trump|fauci|time|time magazine|today|coronavirus|coronavirus task force|virus|government|CDC|live|science|disease|epidemic|pandemic|U.S.|world|breaking news"', '"447008"', '"6245"', '"2190"', '"851"', '"337"']
[77, '"CJCE4s1w1DI"', '"What I Eat In A Day! | StassieBaby"', '"2020-04-07T22:11:15.000Z"', '"UCMHKlaUOwMvgZ339zcjEI2A"', '"Anastasia Karanikolaou"', '22', '"People & Blogs"', '"20.04.10"', '"stassiebaby|stassiebaby birthday|stassiebaby kelsey|stassiebaby ace family|stassiebaby instagram|stassiebaby and kylie|stassiebaby and kelsey|stassiebaby body|stassiebaby breakup|stassiebaby gym|stassiebaby vacation|stassiebaby vlogsquad|stas and zane|stassie David dobrik|stassiebaby try on|stassiebaby bikini|stas and kylie|kylieskin|stassiebaby surgery|function of beauty|stas and victoria|stassiebaby qna|stassiebaby question and answer"', '"192820"', '"199"', '"9261"', '"305"', '"616"']
[78, '"xc0WcXtf9IA"', '"Bad News Just Dropped For All Phase 4 MCU Movies"', '"2020-04-06T15:23:45.000Z"', '"UCP1iRaFlS5EYjJBryFV9JPw"', '"Looper"', '24', '"Entertainment"', '"20.04.10"', '"looper|looper movies|mcu|mcu phase 4|mcu phase 4 bad|mcu phase 4 news|mcu phase 4 bad news|mcu phase 4 delay|mcu phase 4 delays|mcu phase 4 new release schedule|mcu phase 4 schedule|mcu phase 4 movie delays|mcu phase 4 film delays|all mcu phase 4 delays|all mcu phase 4 movie delays|new release schedule mcu phase 4|new movie release schedule mcu phase 4|black widow new release date"', '"978181"', '"275"', '"8456"', '"854"', '"1248"']
[79, '"fElVJ8Zr3ns"', '"New York Governor Andrew Cuomo Delivers Briefing On COVID-19 | TIME"', '"2020-04-08T17:27:27.000Z"', '"UC8Su5vZCXWRag13H53zWVwA"', '"TIME"', '25', '"News & Politics"', '"20.04.10"', '"Time|time magazine|magazine|time (magazine)|time.com|news today|world news|interview|science|technology|health|politics|entertainment|business|news|breaking news|live|lifestyle|video|Andrew Cuomo|Cuomo|Governor of New York|Governor Cuomo|New York City|COVID-19|coronavirus|briefing|presser|Brooklyn|Manhattan|Queens|Staten Island|Bronx|New York Governor Andrew Cuomo|quarantine|self-isolation|social distance|social distancing|New York"', '"251661"', '"2617"', '"1235"', '"256"', '"271"']
[80, '"6y4DzsRCEbk"', '"Members of the Coronavirus Task Force Hold a Press Briefing | TIME"', '"2020-04-07T00:30:10.000Z"', '"UC8Su5vZCXWRag13H53zWVwA"', '"TIME"', '25', '"News & Politics"', '"20.04.10"', '"covid-19|trump|white house|president trump|health|healthcare|public health|social distancing|news|politics|Donald trump|fauci|time|time magazine|today|coronavirus|coronavirus task force|virus|government|CDC|live|science|disease|epidemic|pandemic|U.S.|world|breaking news"', '"753781"', '"7819"', '"3175"', '"1670"', '"1264"']
[81, '"cIuiQyfKBTg"', '"Tiny Waist & Round Butt Workout | At Home Hourglass Challenge 🍑"', '"2020-04-06T12:19:57.000Z"', '"UCCgLoMYIyP0U56dEhEL1wXQ"', '"Chloe Ting"', '26', '"Howto & Style"', '"20.04.10"', '"tiny waist|waist|hourglass|hourglass figure|booty|booty workout|butt|butt workout|booty bands workout|resistance bands workout|booty bands exercise|booty exercise|abs and butt workout|waist and butt workout|tiny waist workout|round butt workout|bubble butt workout|butt workout from home|home workout for butt|abs workout|abs|abs and butt|hourglass workout|hourglass exercise|grow butt from home|grow butt no equipment|butt exercise|grow booty from home"', '"1243683"', '"988"', '"58900"', '"867"', '"3518"']
[82, '"Za0wYuJYKg0"', '"Everything Wrong With Cloudy With A Chance of Meatballs"', '"2020-04-07T15:45:18.000Z"', '"UCYUQQgogVeQY8cMQamhHJcg"', '"CinemaSins"', '1', '"Film & Animation"', '"20.04.10"', '"wave jockey job|everything wrong with|cinemasins|cinema sins|eww|cloudy with a chance of meatballs|eww cloudy with a chance of meatballs|everything wrong with cloudy with a chance of meatballs|cinemasins cloudy with a chance of meatball|cloudy|chance of meatballs|movie|movie review|review|bill hader|bill hader cloudy with a chance of meatballs|animation|animated movies|sony|sony animated movies|andy samberg|ana faris|cloudy with achance of meatballs"', '"841337"', '"790"', '"35128"', '"875"', '"3459"']
[83, '"6D_GIMRBqBM"', '"The Worst Relationship Memes On Instagram"', '"2020-04-06T20:09:14.000Z"', '"UCoLUji8TYrgDy74_iiazvYA"', '"Jarvis Johnson"', '23', '"Comedy"', '"20.04.10"', '"jarvis|jarvis johnson|comedy"', '"303484"', '"891"', '"26780"', '"293"', '"2560"']
[84, '"lw8YMmZf9g0"', '"Blake Shelton - Nobody But You (Duet w/ Gwen Stefani) - ACM Presents: Our Country #StayHome #WithMe"', '"2020-04-06T16:06:26.000Z"', '"UC9nxc-xiH1AnL9RGstfgurg"', '"Blake Shelton"', '10', '"Music"', '"20.04.10"', '"Blake Shelton|Blake|Country Music|Official Music Video|Warner Nashville|Team Blake|ACM Presents Our Country|Gwen Stefani|nobody but you acms|nobody but you acm performance|nobody but you acm presents: our country|blake and gwen|blake shelton nobody but you|gwen stefani nobody but you"', '"463650"', '"152"', '"14316"', '"393"', '"1004"']
[85, '"DDVtgjsL8cE"', '"Irish People Try American Chicken Sandwiches For The First Time... in AMERICA!"', '"2020-04-06T20:00:02.000Z"', '"UCabq3No3wXbs6Ut-Pux6SzA"', '"The TRY Channel"', '24', '"Entertainment"', '"20.04.10"', '"try channel|irish people try|facts channel|facts.|irish people|irish|people|try|people try|american|chicken|sandwich|chicken sandwiches|american chicken sandwich|in america|irish people in america|popeyes|popeyes chicken sandwich|kfc|kfc chicken sandwich|taste test|chicken sandwich taste test|for the first time|FTFT|irish people taste test|irish people try american food"', '"388154"', '"757"', '"14173"', '"856"', '"4196"']
[86, '"vAgiHreswj0"', '"How We Know The Earth Is Ancient"', '"2020-04-07T18:02:20.000Z"', '"UC7_gcs09iThXybpVgjHZ_7g"', '"PBS Space Time"', '27', '"Education"', '"20.04.10"', '"Space|Outer Space|Physics|Astrophysics|Quantum Mechanics|Space Physics|PBS|Space Time|Time|PBS Space Time|Matt O’Dowd|Astrobiology|Einstein|Einsteinian Physics|General Relativity|Special Relativity|Dark Energy|Dark Matter|Black Holes|The Universe|Math|Science Fiction|Calculus|Maths|Holographic Universe|Holographic Principle|Rare Earth|Anthropic Principle|Weak Anthropic Principle|Strong Anthropic Principle"', '"329228"', '"1045"', '"13731"', '"276"', '"2447"']
[87, '"i58MNnk6BhY"', '"The Weeknd - Until I Bleed Out (Official Video)"', '"2020-04-07T16:00:31.000Z"', '"UCF_fDSgPpBQuh1MsUTgIARQ"', '"TheWeekndVEVO"', '10', '"Music"', '"20.04.10"', '"The|Weeknd|Until|Bleed|Out|Republic|Records"', '"2700415"', '"191"', '"186972"', '"3097"', '"9577"']
[88, '"80go3RkaGa0"', '"WATCH: Trump\'s coronavirus task force gives update at White House - 4/7 (FULL LIVE STREAM)"', '"2020-04-07T23:58:08.000Z"', '"UCHd62-u_v4DvJ8TCFtpi4GA"', '"Washington Post"', '25', '"News & Politics"', '"20.04.10"', '"coronavirus task force|coronavirus live|covid 19|coronavirus press conference|trump coronavirus|coronavirus update|coronavirus news|virus|corona virus|wuhan|corona|covid-19|coronavirus|breaking news video|video updates|live video|live updates|breaking news|press conference|live speeches|real time coverage"', '"965707"', '"6748"', '"3913"', '"2240"', '"1958"']
[89, '"JAKHZerZ2jM"', '"Honest Trailers | Birds of Prey"', '"2020-04-07T17:00:07.000Z"', '"UCOpcACMWblDls9Z6GERVi1A"', '"Screen Junkies"', '1', '"Film & Animation"', '"20.04.10"', '"fandom|screenjunkies|screen junkies|honest trailers|honest trailer|birds of prey|harley quinn|birds of prey review|birds of prey reaction|birds of prey trailer|honest trailers birds of prey"', '"1186582"', '"313"', '"43583"', '"1300"', '"3822"']
[90, '"m8xx6BOvqlY"', '"You Drink you Lose! | Spicy Wing Challenge!!"', '"2020-04-07T20:16:00.000Z"', '"UCaRH3rDr3K3CEfhVqu5mgUQ"', '"Team Edge"', '23', '"Comedy"', '"20.04.10"', '"team edge|team edge challenge|teamedge|challenges|competition|giant games|battle|spicy|hot wings|flaming hot|trivia|mystery food|trivia challenge|hot ones|hot sauce"', '"651370"', '"710"', '"26268"', '"427"', '"2038"']
[91, '"LGvtUF9-hSI"', '"GIANT Twix Made Of Cake! | Shortbread, Caramel, Chocolate Layers | How To Cake It"', '"2020-04-07T12:00:20.000Z"', '"UCvM1hVcRJmVWDtATYarC0KA"', '"How To Cake It"', '26', '"Howto & Style"', '"20.04.10"', '"Yolanda Gampp|Yolanda Gamp|How To Cake It|Cakes|Cake|Sugar Stars|How To Cake It By Yolanda|Buttercream|Vanilla Cake|Chocolate|Vanilla|Recipe|Chocolate Cake Recipe|Simple Syrup|twix|twix cake|giant twix|giant twix cake|chocolate|candy|snickers|asmr|chocolate bar|caramel|twix bar|how to|chocolate bar recipe|cake decorating|cake recipe|buttercream cake decorating|chocolate asmr|giant twix bar|cake art|novelty cake|giant cakes|howtocakeit"', '"375139"', '"849"', '"15454"', '"188"', '"1574"']
[92, '"zobFuAcisKE"', '"PS5 Controller (DualSense) Revealed, And... Woah"', '"2020-04-07T23:21:23.000Z"', '"UCT6iAerLNE-0J1S_E97UAuQ"', '"YongYea"', '20', '"Gaming"', '"20.04.10"', '"playstation 5|ps5|playstation 5 controller|dualsense|ps5 controller"', '"387925"', '"632"', '"18295"', '"717"', '"6533"']
[93, '"zZbDg24dfN0"', '"Tesla Ventilator"', '"2020-04-05T23:18:55.000Z"', '"UC5WjFrtBdufl6CZojX3D8dQ"', '"Tesla"', '2', '"Autos & Vehicles"', '"20.04.10"', '"tesla|model s|model x|model 3|powerwall|electric car|elon musk|ludicrous|battery"', '"3234392"', '"232"', '"134255"', '"1973"', '"10665"']
[94, '"aWbQ5WcB0m4"', '"Announcement Trailer - Cyber Up Your PC! Cyberpunk 2077 Case Modding Contest"', '"2020-04-07T14:45:17.000Z"', '"UC4zyoIAzmdsgpDZQfO1-lSA"', '"Cyberpunk 2077"', '20', '"Gaming"', '"20.04.10"', '"Cyberpunk|Cyberpunk 2077|CP|CP77|CP2077|2077|trailer|official|E3 Cyberpunk|E3 Cyberpunk 2077|video game|game|RPG|Night City|FPP|cd projekt|cd projekt red|CDPR|cd project|cd project red|PC|cyberup"', '"250155"', '"38"', '"10339"', '"548"', '"1150"']
[95, '"Nob8HpxACDI"', '"Who\'s DUMB ENOUGH to SPEND $500 on a DYSON FLAT IRON?"', '"2020-04-06T17:00:07.000Z"', '"UC4qk9TtGhBKCkoWz5qGJcGg"', '"Tati"', '26', '"Howto & Style"', '"20.04.10"', '"YouTube|Beauty|Makeup|Tutorial|Review|blogger|Tati|Westbrook|GlamLifeGuru|how to|makeup tutorial|Beauty expert|drugstore|luxury|favorites|Best|cosmetics|Tati Westbrook|Tati Beauty|Halo Beauty|Makeup Review|New Makeup|Weird Makeup"', '"1069375"', '"937"', '"36683"', '"2029"', '"3881"']
[96, '"qWvd2_pha34"', '"REVEALING MY NEW HAIR....... omfg"', '"2020-04-05T23:36:28.000Z"', '"UCf5Z8I0Yy0_-a-xAu2_0Yiw"', '"Sarah Baska"', '24', '"Entertainment"', '"20.04.10"', '"sarah baska|hair|bleaching hair|bleaching|brad mondo|dying hair|hair dye|bleach|new hair|corona|quarantine|funny|comedy"', '"950353"', '"1509"', '"57433"', '"1474"', '"9627"']
[97, '"v8P_go_vj00"', '"Anderson .Paak, Justin Timberlake - Don\'t Slack (from Trolls World Tour) (Official Video)"', '"2020-04-06T15:00:11.000Z"', '"UCsXfDf1CDgU3SCt0gxJNXGg"', '"justintimberlakeVEVO"', '10', '"Music"', '"20.04.10"', '"anderson paak|justin timberlake|don’t slack|don’t slack trolls|don’t slack video|don’t slack official video|anna kendrick|anna kendrick dance|anna kendrick don’t slack|trolls world tour|don’t slack trolls world tour|don’t slack lyrics|trolls video|justin timberlake trolls|trolls soundtrack|trolls world tour movie|trolls movie|don’t slack song|trolls don’t|mirrors|mirrors justin timberlake|justin timberlake sexyback|paak"', '"512858"', '"196"', '"16794"', '"757"', '"829"']
[98, '"jJSfz7POzM8"', '"Fauci says coronavirus deaths will keep rising even as new U.S. cases stabilize"', '"2020-04-05T17:43:24.000Z"', '"UC2x_qNZXKDxNP1j4jvHATRQ"', '"Face the Nation"', '25', '"News & Politics"', '"20.04.10"', '"video|cbs|news|doctor|anthony fauci|national institute|allergy|infectios diseases|US|struggle|control|coronavirus"', '"1061685"', '"520"', '"6868"', '"1793"', '"4999"']
[99, '"THxmiog5PjU"', '"Drake - Toosie Slide Dance Choreography ft Kenneth, Ranz & Niana, AC, Nicole, Gabe Tati & more"', '"2020-04-06T20:04:04.000Z"', '"UCczFdwWpVEpoqb-eMm4c4dQ"', '"Matt Steffanina"', '24', '"Entertainment"', '"20.04.10"', '"toosie slide|dance|choreography|matt steffanina|ranz|niana|nicole laeno|kenneth san jose|ac bonifacio|tutorial|how to dance"', '"435932"', '"646"', '"17702"', '"251"', '"796"']
[100, '"85zMGIy9R7k"', '"Miranda Lambert - Bluebird (From ACM Presents: Our Country)"', '"2020-04-06T07:00:02.000Z"', '"UCJQplYDHQjYbmADXC-_y27Q"', '"mirandalambertVEVO"', '10', '"Music"', '"20.04.10"', '"acm our country|acm 2020|acm country|performance|official video|wildcard|way too pretty for prison|white trash|holy water|how dare you love|fire escape|tequila does|track record|wildcard up my sleeve|tiktok|tik tok|mess with my head|locomotive|dogs|maren morris|Something bad|mamas broken heart|kerosene|white liar|little red wagon|we should be friends|dead flowers|pink sunglasses|pushing time|pistol annies|at home"', '"398353"', '"160"', '"12693"', '"198"', '"953"']
[101, '"wa4m5MBQUls"', '"Coronavirus: Boris Johnson moved to intensive care as symptoms \'worsen\' - BBC Newsnight"', '"2020-04-06T23:54:19.000Z"', '"UC6o-wWU-v2ClFMwougmK7dA"', '"BBC Newsnight"', '25', '"News & Politics"', '"20.04.10"', '"covid19|Coronavirus|covid-19 v the flu|coronavirus symptoms|the coronavirus|bbc news night coronavirus|coronavirus|bbc|coronavirus uk|coronavirus Britain|bbc newsnight|uk lockdown|Boris Johnson|coronavirus conspiracy|coronavirus latest news|bbc news|coronavirus outbreak|covid-19|coronavirus news|boris johnson intensive care|prime minister intensive care|Boris intensive care|intensive care unit|icu|prime minister|boris johnson coronavirus|pandemic|maitlis"', '"463275"', '"933"', '"2339"', '"321"', '"3546"']
[102, '"2klmuggOElE"', '"The Queen\'s Coronavirus broadcast: \'We will meet again\' - BBC"', '"2020-04-05T19:09:26.000Z"', '"UCCj956IF62FbT7Gouszaj9w"', '"BBC"', '25', '"News & Politics"', '"20.04.10"', '"BBC iPlayer|United Kingdom|British TV|British TV Shows|Watch UK TV Online|Watch British TV Online|Watch British TV Shows Online|royal family|2019 queens speech|queens speech 2020|british queen speech|queen speech 2020|coronavirus speech|queens message"', '"2515547"', '"270"', '"57032"', '"4243"', '"11076"']
[103, '"GegN_AXWWqc"', '"Dixiedo fox runs away with my phone. Tries to bury it"', '"2020-04-05T21:35:40.000Z"', '"UCb3KY97ICfIkDJY_p6d7yig"', '"SaveAFox"', '15', '"Pets & Animals"', '"20.04.10"', '"[none]"', '"1932824"', '"83"', '"92742"', '"595"', '"6891"']
