rank,video_id,title,publishedAt,channelId,channelTitle,categoryId,category,trending_date,tags,view_count,likes,dislikes,comment_count,duration
171,xa0qshcRhDQ,KSI - Poppin (feat. Lil Pump & Smokepurpp) [Official Music Video],2020-04-03T14:00:23.000Z,UCVtFOytbRpEvzLjvqGG5gxQ,KSI,10,Music,20.04.10,"""Poppin|rap|hiphop|KingBach|BaileySok|MalyMall|TajvsTaj|Elijah Long|Kacee Devoe|Andre Jones""",6219175,424631,36919,44032,256
172,G9oqvJ3iXGI,Coronavirus survivor reveals what it's like to have Covid-19,2020-03-10T16:35:46.000Z,UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,25,News & Politics,20.04.10,"""Channel 4 News|china|virus|china virus|coronavirus|virus in china|china disease|covid-19|coronavirus china|coronavirus risks|how to prevent coronavirus|coronavirus uk|coronavirus symptoms|coronavirus what is it|coronavirus china 2020|coronavirus outbreak|new china virus|coronavirus britain|wuhan|china virus wuhan|wuhan virus|wuhan coronavirus|coronavirus timeline|quarantine|who|coronavirus vaccine|vaccine|covid-19 vaccine|coronavirus explained""",10788856,110151,6384,22290,491
173,BaoEykfrQt0,Full Race Replay | Saturday Night Thunder | iRacing from Bristol Motor Speedway,2020-04-05T02:48:14.000Z,UCuN9hYw2RpoAW8rZ3VK3isA,NASCAR,17,Sports,20.04.10,"""iracing|bristol motor speedway|nascar|live|racing|simulator|logan seavey""",193790,2737,118,137,7737
174,8cu4qAoeXow,Deadpool Has Arrived | Fortnite,2020-04-03T14:01:33.000Z,UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,20,Gaming,20.04.10,"""Fortnite|Epic Games|PC|PS4|Xbox One|Battle Royale|Unreal Tournament|Unreal Engine|Fortnite Battle Royale|Fortnite Creative""",3653115,116157,8184,15924,38
175,woXewaHgbHM,"TESTING VIDEO GAME GADGETS in REAL LIFE! Fortnite, Assassin's Creed, & Zelda vs Fruit Ninja CWC",2020-04-03T20:38:20.000Z,UC6Ewbj-MFWA7dXgQA9y5EEw,Melvin PZ9 The Best Fighter,24,Entertainment,20.04.10,"""spy ninjas|spy ninja|melvin|pz9|cwc|chad wild clay|vy|vy qwaint|fruit ninja|spy|ninja|gadgets|trying|testing|fortnite|pickaxe|pick axe|stop axe|ruler sword|assassin's creed|cane sword|legend of zelda|zelda|shield|master sword|soda|bananas|pineapple|chop|slice|battle royale|funny moments|battle universe|in real life|IRL|challenge|dantdm|challenges|funny|comedy|box|vs|funny videos|game|chadwildclay|put to the test|test|ninjas|play|ninja gadgets""",1295969,33433,10469,11561,359
176,2YapAxPfRyI,"Bill Withers, Stevie Wonder, John Legend perform ""Lean On Me"" at the 2015 Induction Ceremony",2020-04-03T17:49:02.000Z,UClh2CI968a1tE8pQ31pg_Ww,Rock & Roll Hall of Fame,10,Music,20.04.10,"""john legend bill withers lean on me|stevie wonder lean on me bill withers john legend|2015 rock and roll hall of fame induction ceremony bill withers|bill withers at the rock hall induction ceremony|rock hall 2015|lean on me by bill withers|rock hall performance lean on me bill withers""",1269143,20490,389,1288,272
177,HMRa9kQFzcU,ARE WE DONE WITH YOUTUBE?,2020-04-05T00:06:07.000Z,UChhBsM9K_Bc9a_YTK7UUlnQ,Pure Living for Life,24,Entertainment,20.04.10,"""[none]""",194319,9148,3991,819,602
178,l4ddl-SQX_8,Trying Tik Tok Food Hacks to see if they work,2020-04-04T19:07:08.000Z,UCpB959t8iPrxQWj7G6n0ctQ,SSSniperWolf,24,Entertainment,20.04.10,"""sssniperwolf|sniper wolf|reacting|reaction|funny|life hacks|tiktok|tik tok|diy|do it yourself|tiktok hacks|to|see|if|they|work|tiktok life hacks|life hack|food hacks|tiktok food hacks""",2721445,83922,1819,10055,855
179,kay46Z1ZHbM,Please just wash your hands... like seriously,2020-04-04T13:00:19.000Z,UCdyMFblTjr-C2N-T5TGftQQ,Nathan Doan Comedy,24,Entertainment,20.04.10,"""wash your hands|germs|flu|sick|comedy|skit|nathan doan|when its all you can eat but you're too full|tik tok|L's theme""",414306,22998,418,2926,209
180,-vgRydzBsic,WHY I HAD TO LET MY ANT COLONIES GO | Emotional Video,2020-04-04T12:00:00.000Z,UCONd1SNf3_QqjzjCVsURNuA,AntsCanada,15,Pets & Animals,20.04.10,"""2020|ants|pets|terrarium|ant farm|antfarm|antscanada|animals|insects|exotic pets|myrmecology|fireants|phoenix empire""",1053215,74320,2172,17486,937
